,avg,cik,tot,year
598,0.35029117656641945,107263,4,2007
599,0.32135048248387915,107263,8,2008
600,0.297339653765565,107263,11,2009
601,0.32177604191303644,107263,9,2010
602,0.40184458487682745,107263,14,2011
603,0.1660236448295788,107263,8,2012
604,0.5763666574493932,107263,4,2014
605,0.3165463748462568,107263,8,2015
606,0.3427206770414858,827809,2,2002
607,0.18158227326959073,827809,20,2003
608,0.18450922453239768,827809,17,2004
609,0.18489273817176088,827809,20,2005
610,0.1561074374472349,827809,25,2006
611,0.1828018365014566,827809,19,2007
612,0.22815668513046086,827809,22,2008
613,0.22880013209609956,827809,24,2009
614,0.22765959644386427,827809,17,2010
615,0.23933139335939224,827809,9,2011
616,0.23337127519959905,827809,15,2012
617,0.1917676863780004,827809,12,2013
618,0.22715151246372392,827809,16,2014
619,0.18633353118150464,827809,15,2015
620,0.09591827889205784,916457,2,1997
621,0.12363742906313109,916457,3,1998
622,0.28798543186729497,916457,3,1999
623,0.33526702735272124,916457,9,2000
624,0.21699769718581913,916457,16,2001
625,0.2062915788979179,916457,20,2002
626,0.19113439256965842,916457,25,2003
627,0.19367992056471678,916457,17,2004
628,0.22820714267035935,916457,38,2005
629,0.18807673054120744,916457,4,2006
630,0.14621738821654934,916457,15,2007
631,0.20203043274997454,916457,4,2008
632,0.2399968738521456,916457,10,2009
633,0.24243018510567296,916457,18,2010
634,0.3168965110291147,916457,9,2011
635,0.3187591193671408,916457,7,2012
636,0.26151959687991816,916457,13,2013
637,0.30842648824992225,916457,10,2014
638,0.2734253219219927,916457,10,2015
639,0.33516456077750173,882154,4,2003
640,0.1752476372709889,882154,9,2004
641,0.30633643220954326,882154,7,2005
642,0.12138553675800631,882154,9,2006
643,0.2096673295692441,882154,11,2007
644,0.20017107507329163,882154,19,2008
645,0.16767737566926105,882154,19,2009
646,0.19077150385550687,882154,27,2010
647,0.14181136911102152,882154,23,2011
648,0.16116793653906805,882154,27,2012
649,0.17959393065895182,882154,23,2013
650,0.20241928408966237,882154,26,2014
651,0.201253526899039,882154,26,2015
652,0.22444577452088335,812900,7,1997
653,0.2824487891018429,812900,9,1998
654,0.17193588021427922,812900,3,1999
655,0.2965548596269449,812900,3,2001
656,0.34084086590380214,812900,5,2002
657,0.12386458731676393,812900,21,2003
658,0.1321388549918706,812900,18,2004
659,0.16416425757470746,812900,31,2005
660,0.15258995577634135,812900,19,2006
661,0.15897682504033972,812900,18,2007
662,0.15248290378082932,812900,16,2008
663,0.15569604752502972,812900,23,2009
664,0.1786753192105983,812900,17,2010
665,0.17070197639594972,812900,18,2011
666,0.23287507062019555,812900,14,2012
667,0.3717591153595783,812900,7,2013
668,0.23560970877892215,54480,3,1995
669,0.16964772233280068,54480,3,1999
670,0.2696275451431834,54480,6,2000
671,0.25340665092677195,54480,10,2001
672,0.24566000988310194,54480,15,2002
673,0.26424967212281175,54480,29,2003
674,0.2430960185429428,54480,23,2004
675,0.42459152674920386,54480,31,2005
676,0.4336635952524076,54480,23,2006
677,0.46963894030512177,54480,15,2007
678,0.4034271496050931,54480,12,2008
679,0.4605890417688149,54480,11,2009
680,0.35303833027186765,54480,13,2010
681,0.25435866798864143,54480,6,2011
682,0.2554551854850241,54480,5,2012
683,0.2535289491388134,54480,7,2013
684,0.10594548724923135,54480,4,2014
685,0.31791426991160715,54480,10,2015
686,0.3936227193177223,100517,2,1995
687,0.29073611229709106,100517,5,1996
688,0.3636664990853836,100517,2,1998
689,0.2477334060913223,100517,3,1999
690,0.2911356879617,100517,2,2000
691,0.2523464827369098,100517,8,2001
692,0.29414012539676154,100517,9,2002
693,0.2254618400990665,100517,9,2003
694,0.32115877433030265,100517,14,2004
695,0.3145185875857989,100517,14,2005
696,0.4575398122015522,100517,9,2006
697,0.3539582242213396,100517,9,2007
698,0.3100257616397068,100517,11,2008
699,0.41696644785342185,100517,12,2009
700,0.21703926159009906,100517,22,2010
701,0.11515364506714142,100517,18,2011
702,0.11209585832417011,100517,20,2012
703,0.1338782419703933,100517,18,2013
704,0.10227055402482589,100517,19,2014
705,0.16801577480968735,100517,21,2015
706,0.344011974516586,97216,3,1999
707,0.2717749653276569,97216,16,2003
708,0.27937452797663825,97216,16,2004
709,0.18429643772677312,97216,28,2005
710,0.20769321314498318,97216,23,2006
711,0.2291699941759386,97216,18,2007
